post_id,author_id,author_username,author_followers,author_account_age_days,has_media,views,likes,retweets,replies,bookmarks,quotes,content_type,ai_generated,lang,engagement_total,engagement_rate,hashtags,created_at,ai_confidence,detection_method
treatment_000332,user_3789,user_81499,365,1317,True,8137,217,99,65,65,19,treatment,True,en,400,0.0491581664003932,"SyntheticMedia,GrokAI,AIArt",2025-04-25,1.0,pre_labeled
treatment_000712,user_7549,user_76954,524,1114,True,9252,266,99,24,117,24,treatment,True,en,413,0.0446389969736273,"AIGenerated,AIArt,AIGenerated",2025-04-02,1.0,pre_labeled
treatment_000070,user_8160,user_51057,415,1884,True,3698,216,40,33,54,14,treatment,True,en,303,0.0819361817198485,"AIArt,AIArt,AIArt",2025-04-04,1.0,pre_labeled
treatment_000289,user_5260,user_22743,485,624,True,7748,519,69,31,49,27,treatment,True,en,646,0.0833763551884357,SyntheticMedia,2025-03-22,1.0,pre_labeled
control_000187,user_2426,user_30232,58,83,True,2732,155,49,12,39,12,control,False,en,228,0.0834553440702781,"portrait,digitalart",2025-03-23,1.0,pre_labeled
control_000726,user_1999,user_27659,1044,38,True,4457,285,87,19,30,16,control,False,en,407,0.0913170293919676,portrait,2025-02-09,1.0,pre_labeled
treatment_000416,user_9722,user_55639,558,1580,True,5200,284,97,50,71,20,treatment,True,en,451,0.0867307692307692,"AIArt,GrokAI,GrokAI",2025-02-21,1.0,pre_labeled
control_000287,user_9829,user_79224,2079,1252,True,4999,104,29,45,61,13,control,False,en,191,0.0382076415283056,digitalart,2025-02-15,1.0,pre_labeled
treatment_000324,user_9775,user_85651,245,1353,True,6490,432,72,50,63,24,treatment,True,en,578,0.0890600924499229,AIArt,2025-01-17,1.0,pre_labeled
treatment_000617,user_3397,user_49454,590,1313,True,10777,651,141,32,50,47,treatment,True,en,871,0.0808202653799758,"AIGenerated,AIGenerated,AIArt",2025-04-10,1.0,pre_labeled
treatment_000380,user_1047,user_64715,82,1243,True,11621,680,120,109,125,43,treatment,True,en,952,0.0819206608725583,AIArt,2025-02-25,1.0,pre_labeled
treatment_000173,user_7500,user_52671,1000,660,True,6203,302,97,19,53,28,treatment,True,en,446,0.0719006932129614,SyntheticMedia,2025-03-06,1.0,pre_labeled
treatment_000634,user_2646,user_38750,647,174,True,15697,902,238,148,93,60,treatment,True,en,1348,0.0858762820921195,"SyntheticMedia,AIArt,AIGenerated",2025-04-20,1.0,pre_labeled
treatment_000701,user_6544,user_33431,526,1989,True,5310,357,26,13,28,13,treatment,True,en,409,0.0770244821092278,"AIGenerated,AIArt,AIArt",2025-02-11,1.0,pre_labeled
control_000721,user_4512,user_71285,1120,1326,True,1041,53,6,4,5,3,control,False,en,66,0.063400576368876,digitalart,2025-01-18,1.0,pre_labeled
treatment_000023,user_9339,user_68510,511,1120,True,13307,529,130,125,46,56,treatment,True,en,840,0.0631246712256707,SyntheticMedia,2025-01-17,1.0,pre_labeled
control_000723,user_2819,user_56930,680,1155,True,4029,217,73,39,44,5,control,False,en,334,0.0828989823777612,"artistsontwitter,digitalart,photography",2025-04-10,1.0,pre_labeled
treatment_000032,user_1829,user_50795,215,1762,True,3077,130,17,18,26,10,treatment,True,en,175,0.0568735781605459,AIArt,2025-02-02,1.0,pre_labeled
treatment_000566,user_3052,user_37162,504,1672,True,6798,201,101,57,33,28,treatment,True,en,387,0.056928508384819,"AIArt,AIArt,AIGenerated",2025-03-30,1.0,pre_labeled
treatment_000099,user_2257,user_65467,643,1468,True,10225,218,120,90,39,46,treatment,True,en,474,0.0463569682151589,"GrokImage,AIArt",2025-01-20,1.0,pre_labeled
treatment_000518,user_5278,user_50407,85,709,False,13162,679,142,73,120,30,treatment,True,en,924,0.0702020969457529,"GrokImage,AIGenerated",2025-04-18,1.0,pre_labeled
control_000387,user_8036,user_83543,183,762,True,5288,341,58,39,35,11,control,False,en,449,0.0849092284417549,"digitalart,artistsontwitter",2025-02-11,1.0,pre_labeled
control_000552,user_9336,user_77679,1215,1697,True,10031,334,119,74,124,18,control,False,en,545,0.0543315721264081,"photography,artistsontwitter",2025-03-07,1.0,pre_labeled
control_000375,user_3160,user_29654,605,1511,True,6424,153,57,63,57,10,control,False,en,283,0.0440535491905354,"portrait,portrait",2025-01-06,1.0,pre_labeled
control_000007,user_6244,user_77821,394,631,True,9268,430,172,41,76,19,control,False,en,662,0.0714285714285714,"photography,portrait",2025-02-09,1.0,pre_labeled
treatment_000394,user_7478,user_57323,554,447,True,9075,550,62,44,60,17,treatment,True,en,673,0.074159779614325,AIGenerated,2025-03-16,1.0,pre_labeled
control_000595,user_6912,user_30350,586,83,True,2964,91,15,12,34,12,control,False,en,130,0.043859649122807,photography,2025-04-10,1.0,pre_labeled
control_000652,user_3140,user_37521,1298,1957,True,7230,428,51,30,85,24,control,False,en,533,0.0737206085753803,"digitalart,artistsontwitter",2025-02-13,1.0,pre_labeled
treatment_000352,user_3688,user_48777,951,1848,True,10736,853,89,95,90,38,treatment,True,en,1075,0.1001304023845007,"GrokAI,GrokAI",2025-01-05,1.0,pre_labeled
treatment_000570,user_9538,user_89263,76,1370,True,7727,252,153,42,111,24,treatment,True,en,471,0.0609550925326776,"AIArt,AIGenerated",2025-01-26,1.0,pre_labeled
treatment_000415,user_7098,user_20269,1109,1247,True,10570,611,135,100,84,28,treatment,True,en,874,0.0826868495742668,AIGenerated,2025-03-12,1.0,pre_labeled
treatment_000611,user_5164,user_60533,99,1257,False,3847,304,63,17,36,17,treatment,True,en,401,0.104237067845074,"GrokAI,AIArt,GrokImage",2025-01-31,1.0,pre_labeled
treatment_000300,user_4272,user_53174,545,1812,True,14216,617,209,77,157,39,treatment,True,en,942,0.0662633652222847,"SyntheticMedia,AIGenerated,AIArt",2025-03-05,1.0,pre_labeled
treatment_000069,user_5225,user_13613,1121,1843,True,15166,1188,89,38,72,47,treatment,True,en,1362,0.0898061453250692,"GrokAI,AIArt",2025-04-03,1.0,pre_labeled
control_000693,user_3878,user_82283,667,1490,True,4966,100,40,14,59,7,control,False,en,161,0.0324204591220298,"artistsontwitter,digitalart,artistsontwitter",2025-04-22,1.0,pre_labeled
control_000236,user_4925,user_56545,678,213,True,6676,265,57,37,59,15,control,False,en,374,0.0560215698022768,"portrait,portrait",2025-01-21,1.0,pre_labeled
treatment_000782,user_2104,user_56385,712,77,True,10103,447,169,67,82,21,treatment,True,en,704,0.0696822725922993,"GrokImage,AIGenerated,GrokAI",2025-03-17,1.0,pre_labeled
treatment_000059,user_7146,user_82085,528,427,False,16546,362,136,51,83,26,treatment,True,en,575,0.0347516015955517,GrokAI,2025-04-18,1.0,pre_labeled
treatment_000636,user_3118,user_48442,633,1451,True,4535,242,37,30,19,6,treatment,True,en,315,0.0694597574421168,"GrokAI,AIArt",2025-01-10,1.0,pre_labeled
control_000218,user_7490,user_56038,216,1965,True,2925,84,35,10,24,7,control,False,en,136,0.0464957264957264,digitalart,2025-04-19,1.0,pre_labeled
treatment_000759,user_7566,user_86993,456,1330,False,11732,301,233,64,45,53,treatment,True,en,651,0.055489260143198,"GrokImage,SyntheticMedia,GrokAI",2025-04-29,1.0,pre_labeled
treatment_000677,user_1760,user_45470,636,564,True,6117,308,102,37,35,28,treatment,True,en,475,0.0776524440085009,"GrokImage,AIGenerated,GrokImage",2025-02-21,1.0,pre_labeled
control_000492,user_6009,user_51327,229,131,True,5435,183,57,53,27,20,control,False,en,313,0.0575896964121435,photography,2025-04-28,1.0,pre_labeled
treatment_000527,user_2294,user_17632,265,78,True,2272,73,41,8,12,4,treatment,True,en,126,0.0554577464788732,"GrokAI,SyntheticMedia",2025-04-02,1.0,pre_labeled
control_000753,user_5374,user_80858,459,1715,True,4763,377,86,32,23,6,control,False,en,501,0.1051858072643292,digitalart,2025-03-28,1.0,pre_labeled
control_000017,user_7399,user_80814,257,1503,True,5105,343,95,43,33,5,control,False,en,486,0.0952007835455435,"photography,digitalart",2025-01-10,1.0,pre_labeled
treatment_000244,user_6658,user_73825,421,1878,True,20575,609,206,137,284,21,treatment,True,en,973,0.0472904009720534,"AIGenerated,SyntheticMedia,GrokImage",2025-01-01,1.0,pre_labeled
control_000243,user_8869,user_20379,616,1327,True,5775,257,46,29,76,5,control,False,en,337,0.0583549783549783,"portrait,portrait",2025-04-23,1.0,pre_labeled
control_000610,user_1443,user_35589,827,1228,True,4523,205,59,41,14,11,control,False,en,316,0.0698651337607782,"photography,photography,photography",2025-03-28,1.0,pre_labeled
control_000273,user_6808,user_89980,123,1155,False,2752,81,34,14,35,3,control,False,en,132,0.0479651162790697,"portrait,photography,photography",2025-01-31,1.0,pre_labeled
control_000662,user_2144,user_11701,340,1217,False,5297,312,89,12,24,14,control,False,en,427,0.0806116669813101,photography,2025-02-08,1.0,pre_labeled
control_000629,user_4813,user_74985,520,665,True,11042,422,145,83,55,43,control,False,en,693,0.0627603694982793,"photography,digitalart,portrait",2025-01-15,1.0,pre_labeled
control_000405,user_8267,user_72573,343,158,True,8860,620,156,34,129,38,control,False,en,848,0.0957110609480812,"artistsontwitter,artistsontwitter",2025-03-01,1.0,pre_labeled
control_000307,user_1937,user_20674,387,881,True,5198,179,66,22,49,15,control,False,en,282,0.0542516352443247,"photography,digitalart,photography",2025-02-24,1.0,pre_labeled
control_000598,user_3093,user_55555,470,1068,True,3587,272,22,25,44,17,control,False,en,336,0.0936715918594926,"digitalart,photography",2025-03-11,1.0,pre_labeled
treatment_000535,user_2382,user_99885,200,570,True,8303,652,78,31,61,14,treatment,True,en,775,0.0933397567144405,"GrokImage,GrokAI",2025-04-10,1.0,pre_labeled
control_000767,user_4711,user_80953,234,1633,True,3643,121,42,34,38,9,control,False,en,206,0.0565468020861927,"photography,photography,digitalart",2025-02-18,1.0,pre_labeled
control_000503,user_5259,user_47440,27,1970,True,7325,333,53,16,56,12,control,False,en,414,0.056518771331058,artistsontwitter,2025-03-23,1.0,pre_labeled
treatment_000298,user_3560,user_13710,232,1136,True,7895,525,58,49,116,35,treatment,True,en,667,0.0844838505383153,AIArt,2025-03-25,1.0,pre_labeled
treatment_000764,user_4246,user_60123,419,835,True,3645,85,42,23,28,5,treatment,True,en,155,0.0425240054869684,"GrokImage,AIGenerated,GrokImage",2025-03-15,1.0,pre_labeled
treatment_000344,user_9148,user_39799,461,741,True,8951,512,152,36,110,10,treatment,True,en,710,0.0793207462853312,"GrokAI,GrokAI,SyntheticMedia",2025-02-02,1.0,pre_labeled
treatment_000530,user_6386,user_50485,165,1305,True,17383,1362,325,46,163,32,treatment,True,en,1765,0.1015359834320888,"AIGenerated,GrokAI",2025-03-27,1.0,pre_labeled
control_000284,user_6190,user_60706,399,1974,True,8641,671,64,82,106,33,control,False,en,850,0.0983682444161555,"portrait,digitalart,artistsontwitter",2025-01-12,1.0,pre_labeled
treatment_000534,user_6196,user_58021,499,48,True,12139,357,105,51,153,46,treatment,True,en,559,0.0460499217398467,GrokAI,2025-02-03,1.0,pre_labeled
control_000485,user_4251,user_55117,402,1394,True,2552,200,47,21,17,5,control,False,en,273,0.106974921630094,digitalart,2025-01-29,1.0,pre_labeled
treatment_000471,user_8238,user_19835,171,1548,True,18761,1123,277,158,228,74,treatment,True,en,1632,0.0869889664730025,"GrokImage,AIArt",2025-04-14,1.0,pre_labeled
treatment_000610,user_8502,user_15456,553,925,True,9016,228,141,30,105,34,treatment,True,en,433,0.0480257320319432,GrokImage,2025-03-26,1.0,pre_labeled
treatment_000185,user_5014,user_68718,101,333,True,15819,727,156,109,97,58,treatment,True,en,1050,0.0663758771098046,"AIGenerated,GrokImage",2025-03-31,1.0,pre_labeled
treatment_000707,user_6151,user_53187,582,640,True,12261,665,103,67,111,58,treatment,True,en,893,0.072832558518881,AIArt,2025-04-10,1.0,pre_labeled
treatment_000049,user_8004,user_64532,97,812,True,10080,635,155,41,102,23,treatment,True,en,854,0.0847222222222222,"SyntheticMedia,AIGenerated,GrokImage",2025-04-28,1.0,pre_labeled
control_000314,user_1764,user_67359,137,1156,False,1695,34,16,11,17,5,control,False,en,66,0.0389380530973451,"digitalart,artistsontwitter,digitalart",2025-02-13,1.0,pre_labeled
control_000018,user_8919,user_26048,2112,525,True,4273,290,83,28,18,13,control,False,en,414,0.0968874327170606,photography,2025-02-06,1.0,pre_labeled
treatment_000124,user_8694,user_32345,302,1046,True,11405,766,84,35,46,12,treatment,True,en,897,0.0786497150372643,"SyntheticMedia,GrokAI",2025-01-23,1.0,pre_labeled
control_000103,user_3940,user_74195,334,466,True,7323,289,137,65,43,10,control,False,en,501,0.0684145841868086,"artistsontwitter,digitalart,artistsontwitter",2025-02-02,1.0,pre_labeled
treatment_000339,user_9575,user_58556,1106,374,True,8786,654,73,66,74,17,treatment,True,en,810,0.0921921238333712,"AIArt,GrokImage,AIArt",2025-02-14,1.0,pre_labeled
control_000034,user_1481,user_73496,185,1068,True,11353,443,76,96,48,15,control,False,en,630,0.055491940456267,"artistsontwitter,digitalart",2025-01-29,1.0,pre_labeled
control_000107,user_3804,user_89900,345,1913,True,2178,173,23,14,25,2,control,False,en,212,0.0973370064279155,photography,2025-02-19,1.0,pre_labeled
treatment_000309,user_1977,user_14018,152,69,True,15046,1012,193,44,209,47,treatment,True,en,1296,0.0861358500598165,"AIArt,GrokImage,AIGenerated",2025-01-25,1.0,pre_labeled
treatment_000366,user_5225,user_11974,454,1303,True,11224,488,167,108,147,52,treatment,True,en,815,0.0726122594440484,"GrokImage,GrokAI,AIArt",2025-03-28,1.0,pre_labeled
treatment_000361,user_9016,user_54893,522,1319,True,11180,495,167,48,60,11,treatment,True,en,721,0.0644901610017889,GrokImage,2025-02-23,1.0,pre_labeled
treatment_000601,user_8010,user_31723,209,1956,False,7056,370,76,27,87,33,treatment,True,en,506,0.0717120181405895,"GrokAI,GrokAI,SyntheticMedia",2025-04-29,1.0,pre_labeled
control_000377,user_8901,user_34825,55,904,True,6879,229,59,36,20,29,control,False,en,353,0.0513155981974124,portrait,2025-02-03,1.0,pre_labeled
control_000605,user_3426,user_32472,421,450,True,3525,258,69,17,44,9,control,False,en,353,0.1001418439716312,"photography,artistsontwitter,artistsontwitter",2025-04-17,1.0,pre_labeled
treatment_000405,user_5506,user_91298,635,1003,True,4110,244,54,21,53,9,treatment,True,en,328,0.0798053527980535,AIArt,2025-03-06,1.0,pre_labeled
control_000316,user_7533,user_29146,567,863,True,2354,115,43,8,33,5,control,False,en,171,0.0726423109600679,"portrait,artistsontwitter,portrait",2025-04-23,1.0,pre_labeled
control_000539,user_7140,user_33863,216,1799,True,5196,323,56,51,56,18,control,False,en,448,0.0862201693610469,"artistsontwitter,digitalart,digitalart",2025-03-20,1.0,pre_labeled
treatment_000561,user_1391,user_16044,216,405,True,20373,892,195,130,180,44,treatment,True,en,1261,0.0618956461983998,"AIGenerated,AIGenerated",2025-04-30,1.0,pre_labeled
control_000338,user_1150,user_12202,1127,1629,False,1743,100,9,16,13,8,control,False,en,133,0.0763052208835341,"artistsontwitter,artistsontwitter,digitalart",2025-02-11,1.0,pre_labeled
treatment_000247,user_4741,user_64075,436,34,True,6950,342,108,63,48,9,treatment,True,en,522,0.0751079136690647,"SyntheticMedia,GrokImage,AIArt",2025-03-25,1.0,pre_labeled
treatment_000109,user_7345,user_18254,262,1669,True,13799,574,245,88,166,67,treatment,True,en,974,0.0705848249873179,"GrokAI,GrokAI",2025-04-21,1.0,pre_labeled
treatment_000220,user_2148,user_15035,536,1813,True,13556,362,179,44,146,26,treatment,True,en,611,0.0450722927117143,"GrokAI,AIGenerated,SyntheticMedia",2025-02-09,1.0,pre_labeled
treatment_000203,user_7296,user_89775,479,385,False,11247,508,140,86,41,42,treatment,True,en,776,0.0689961767582466,SyntheticMedia,2025-03-07,1.0,pre_labeled
control_000047,user_4957,user_52929,425,480,True,6479,426,69,38,35,13,control,False,en,546,0.0842722642383083,photography,2025-02-21,1.0,pre_labeled
control_000425,user_4392,user_45601,488,1359,False,3446,75,30,7,14,8,control,False,en,120,0.0348229831688914,portrait,2025-01-09,1.0,pre_labeled
treatment_000275,user_5340,user_24737,253,1667,True,12951,281,123,82,68,61,treatment,True,en,547,0.0422361207628754,AIArt,2025-03-09,1.0,pre_labeled
treatment_000462,user_7738,user_50002,216,123,True,20543,1452,139,158,215,92,treatment,True,en,1841,0.0896169011342063,"AIArt,GrokAI,GrokAI",2025-04-04,1.0,pre_labeled
control_000564,user_7826,user_49219,649,1801,True,1989,56,11,19,9,2,control,False,en,88,0.0442433383609854,"artistsontwitter,portrait",2025-04-13,1.0,pre_labeled
treatment_000350,user_5797,user_43287,687,214,False,7290,550,114,60,53,21,treatment,True,en,745,0.1021947873799725,AIArt,2025-02-14,1.0,pre_labeled
treatment_000270,user_3652,user_70745,146,1924,True,10202,509,124,91,41,34,treatment,True,en,758,0.0742991570280337,AIGenerated,2025-03-06,1.0,pre_labeled
treatment_000598,user_6649,user_12250,601,825,True,9940,248,78,37,119,36,treatment,True,en,399,0.0401408450704225,"AIArt,AIGenerated,GrokAI",2025-04-16,1.0,pre_labeled
treatment_000051,user_2751,user_82132,653,1653,True,12955,673,99,106,139,28,treatment,True,en,906,0.0699343882670783,"GrokImage,AIGenerated",2025-01-18,1.0,pre_labeled
treatment_000076,user_3971,user_58584,386,1754,True,8259,514,148,24,66,29,treatment,True,en,715,0.0865722242402227,"GrokImage,SyntheticMedia,GrokAI",2025-03-15,1.0,pre_labeled
treatment_000551,user_4542,user_45312,565,627,True,10973,855,165,79,110,53,treatment,True,en,1152,0.1049849630912239,"SyntheticMedia,GrokAI",2025-01-07,1.0,pre_labeled
control_000689,user_7052,user_55644,153,1150,True,3030,160,18,17,25,14,control,False,en,209,0.0689768976897689,"digitalart,digitalart",2025-04-26,1.0,pre_labeled
control_000660,user_2364,user_25334,243,712,False,4179,109,52,29,54,6,control,False,en,196,0.0469011725293132,"artistsontwitter,digitalart",2025-04-27,1.0,pre_labeled
control_000313,user_5347,user_22239,231,1687,False,2626,146,47,6,18,5,control,False,en,204,0.0776846915460776,photography,2025-02-13,1.0,pre_labeled
treatment_000614,user_7174,user_62650,472,1297,True,10306,530,198,22,61,34,treatment,True,en,784,0.0760721909567242,"SyntheticMedia,AIGenerated",2025-03-19,1.0,pre_labeled
treatment_000162,user_4682,user_85609,1312,868,True,5462,286,68,33,18,21,treatment,True,en,408,0.074697912852435,GrokImage,2025-02-08,1.0,pre_labeled
treatment_000123,user_5239,user_23061,1423,1905,True,13314,1000,138,113,98,53,treatment,True,en,1304,0.0979420159230884,"AIGenerated,GrokImage,AIArt",2025-03-04,1.0,pre_labeled
control_000609,user_2248,user_18148,461,1993,False,3964,275,74,15,47,17,control,False,en,381,0.0961150353178607,"artistsontwitter,portrait",2025-02-15,1.0,pre_labeled
treatment_000438,user_1727,user_36799,154,1194,True,6725,463,116,64,81,16,treatment,True,en,659,0.097992565055762,"AIGenerated,GrokImage,AIArt",2025-01-12,1.0,pre_labeled
control_000055,user_7241,user_89392,372,249,True,6567,136,83,39,82,15,control,False,en,273,0.0415714938328003,"digitalart,digitalart",2025-03-29,1.0,pre_labeled
control_000444,user_3481,user_38736,419,224,False,7952,271,46,30,39,23,control,False,en,370,0.0465291750503018,artistsontwitter,2025-03-17,1.0,pre_labeled
treatment_000251,user_5445,user_42842,143,630,True,5563,253,51,31,49,22,treatment,True,en,357,0.0641740068308466,"AIArt,GrokAI,SyntheticMedia",2025-04-27,1.0,pre_labeled
treatment_000271,user_1205,user_28814,412,637,True,9761,290,154,27,128,35,treatment,True,en,506,0.0518389509271591,GrokImage,2025-03-23,1.0,pre_labeled
treatment_000184,user_5460,user_62842,108,1044,True,18312,887,160,62,81,53,treatment,True,en,1162,0.0634556574923547,AIArt,2025-01-02,1.0,pre_labeled
treatment_000067,user_4333,user_85417,1768,1684,False,14768,1036,77,56,192,23,treatment,True,en,1192,0.080715059588299,AIGenerated,2025-01-30,1.0,pre_labeled
treatment_000483,user_8170,user_82077,197,1342,True,7143,248,36,52,101,10,treatment,True,en,346,0.0484390312193756,"AIArt,SyntheticMedia,SyntheticMedia",2025-04-10,1.0,pre_labeled
treatment_000141,user_2931,user_46362,61,262,True,4057,133,22,14,31,18,treatment,True,en,187,0.0460931722947991,"AIArt,GrokImage,SyntheticMedia",2025-01-24,1.0,pre_labeled
control_000589,user_1567,user_42695,630,1834,True,1417,34,13,10,19,6,control,False,en,63,0.0444601270289343,photography,2025-01-19,1.0,pre_labeled
control_000132,user_7492,user_41279,864,1383,True,2698,120,39,6,14,5,control,False,en,170,0.0630096367679762,"photography,artistsontwitter",2025-03-06,1.0,pre_labeled
treatment_000528,user_9236,user_70750,604,754,True,10713,329,119,43,102,42,treatment,True,en,533,0.0497526369831046,AIArt,2025-01-24,1.0,pre_labeled
treatment_000464,user_1058,user_31454,357,1934,True,12387,404,149,42,63,30,treatment,True,en,625,0.0504561233551303,"GrokAI,AIArt",2025-04-16,1.0,pre_labeled
treatment_000715,user_8192,user_93733,103,278,True,8418,604,110,72,37,14,treatment,True,en,800,0.0950344499881206,"GrokImage,AIGenerated",2025-03-01,1.0,pre_labeled
control_000201,user_5901,user_26035,1007,1546,False,7565,422,66,31,70,25,control,False,en,544,0.0719101123595505,portrait,2025-04-22,1.0,pre_labeled
treatment_000306,user_3719,user_31967,771,590,True,13282,508,254,34,121,40,treatment,True,en,836,0.0629423279626562,"GrokAI,AIGenerated,SyntheticMedia",2025-01-13,1.0,pre_labeled
treatment_000765,user_8021,user_50900,260,290,True,4098,217,75,24,36,14,treatment,True,en,330,0.0805270863836017,"GrokImage,AIGenerated",2025-02-15,1.0,pre_labeled
control_000603,user_1258,user_65318,496,1033,True,3608,120,18,29,40,12,control,False,en,179,0.0496119733924612,"artistsontwitter,digitalart,photography",2025-02-22,1.0,pre_labeled
control_000621,user_1753,user_15332,446,620,True,5051,196,30,44,33,23,control,False,en,293,0.0580083151851118,"digitalart,photography",2025-03-14,1.0,pre_labeled
treatment_000591,user_9122,user_57658,689,493,True,12226,916,209,112,145,26,treatment,True,en,1263,0.1033044331752004,GrokAI,2025-04-25,1.0,pre_labeled
control_000658,user_2367,user_33478,751,87,True,3232,233,40,32,11,14,control,False,en,319,0.0987004950495049,digitalart,2025-04-24,1.0,pre_labeled
treatment_000297,user_4949,user_77978,590,1826,True,12318,983,232,92,67,44,treatment,True,en,1351,0.109676895599935,"SyntheticMedia,SyntheticMedia",2025-01-25,1.0,pre_labeled
control_000579,user_3168,user_48691,405,126,True,7570,497,55,23,81,9,control,False,en,584,0.0771466314398943,"artistsontwitter,digitalart,portrait",2025-04-08,1.0,pre_labeled
control_000138,user_9336,user_82602,1212,339,False,6242,286,34,59,44,20,control,False,en,399,0.0639218199295097,"photography,photography,artistsontwitter",2025-04-17,1.0,pre_labeled
control_000397,user_8029,user_75986,651,1432,True,6634,333,57,41,54,25,control,False,en,456,0.068736810370817,"portrait,artistsontwitter",2025-02-21,1.0,pre_labeled
