post_id,author_id,author_username,author_followers,author_account_age_days,author_created,text,created_at,lang,has_media,media_types,media_urls,likes,retweets,replies,views,bookmarks,quotes,hashtags,content_type,ai_generated,engagement_total,engagement_rate
control_000287,user_8148,user_28447,952,742,2022-01-01,Synthetic control post #287,2025-02-20,en,True,photo,,258,24,25,4273,38,17,"digitalart,portrait,photography",control,False,324,0.07582494734378657
treatment_000324,user_8762,user_38215,164,616,2022-01-01,Synthetic treatment post #324,2025-04-02,en,True,photo,,523,107,92,10331,44,50,"aigenerated,aiart",treatment,True,772,0.07472655115671281
treatment_000617,user_9958,user_45545,197,1454,2022-01-01,Synthetic treatment post #617,2025-04-24,en,True,photo,,808,119,32,13160,70,26,"grokimage,syntheticmedia",treatment,True,985,0.07484802431610943
treatment_000380,user_2499,user_30299,498,1331,2022-01-01,Synthetic treatment post #380,2025-02-24,en,True,photo,,363,146,52,8349,55,14,"grokai,grokimage,aiart",treatment,True,575,0.06887052341597796
treatment_000173,user_5810,user_42553,461,1017,2022-01-01,Synthetic treatment post #173,2025-02-15,en,True,photo,,533,122,88,12778,54,13,"grokai,aigenerated,aiart",treatment,True,756,0.05916418844889654
treatment_000634,user_2412,user_86856,858,1144,2022-01-01,Synthetic treatment post #634,2025-02-01,en,True,photo,,866,159,48,18584,59,63,grokimage,treatment,True,1136,0.06112785191562634
treatment_000701,user_3273,user_12100,832,1140,2022-01-01,Synthetic treatment post #701,2025-02-09,en,True,photo,,465,126,40,7403,97,14,grokimage,treatment,True,645,0.0871268404700797
control_000721,user_3304,user_97418,270,1254,2022-01-01,Synthetic control post #721,2025-02-09,en,True,photo,,325,60,35,4302,51,12,"digitalart,photography,portrait",control,False,432,0.100418410041841
treatment_000023,user_8136,user_24486,63,332,2022-01-01,Synthetic treatment post #23,2025-01-18,en,True,photo,,910,97,113,12164,137,27,"aigenerated,syntheticmedia",treatment,True,1147,0.09429463992107859
control_000723,user_2334,user_51016,193,793,2022-01-01,Synthetic control post #723,2025-03-27,en,True,photo,,247,59,34,3776,25,16,"portrait,digitalart,photography",control,False,356,0.09427966101694915
treatment_000032,user_7349,user_56826,108,81,2022-01-01,Synthetic treatment post #32,2025-04-18,en,True,photo,,1304,228,157,16852,183,45,grokai,treatment,True,1734,0.10289579871825302
treatment_000566,user_5886,user_81289,380,60,2022-01-01,Synthetic treatment post #566,2025-01-30,en,True,photo,,479,117,92,16861,149,51,"aigenerated,grokimage,syntheticmedia",treatment,True,739,0.04382895439179171
treatment_000099,user_8927,user_55159,116,1630,2022-01-01,Synthetic treatment post #99,2025-03-24,en,True,photo,,146,122,28,6412,35,22,"syntheticmedia,grokimage,aiart",treatment,True,318,0.04959451029320025
treatment_000518,user_8904,user_35049,100,730,2022-01-01,Synthetic treatment post #518,2025-04-29,en,False,photo,,789,297,51,15787,93,33,"aiart,syntheticmedia",treatment,True,1170,0.07411161081902831
control_000387,user_9518,user_45336,91,1203,2022-01-01,Synthetic control post #387,2025-01-05,en,True,photo,,246,44,42,6224,54,25,"portrait,digitalart",control,False,357,0.0573586118251928
control_000552,user_2650,user_97927,392,1636,2022-01-01,Synthetic control post #552,2025-03-09,en,True,photo,,105,64,25,3504,19,7,"photography,artistsontwitter",control,False,201,0.05736301369863014
control_000375,user_9948,user_74293,560,1784,2022-01-01,Synthetic control post #375,2025-01-31,en,True,photo,,267,100,48,5191,40,18,"photography,artistsontwitter,digitalart",control,False,433,0.08341360046233866
control_000007,user_7772,user_55673,192,1105,2022-01-01,Synthetic control post #7,2025-03-31,en,False,photo,,214,72,30,4426,16,7,portrait,control,False,323,0.07297785811116132
treatment_000394,user_3614,user_65221,478,1168,2022-01-01,Synthetic treatment post #394,2025-01-10,en,False,photo,,598,114,57,12886,45,60,grokimage,treatment,True,829,0.0643333850690672
control_000595,user_4874,user_73996,179,1239,2022-01-01,Synthetic control post #595,2025-01-22,en,True,photo,,172,44,21,3362,38,8,"photography,portrait",control,False,245,0.07287328970850684
control_000652,user_8158,user_43723,231,52,2022-01-01,Synthetic control post #652,2025-04-16,en,True,photo,,291,46,36,5186,49,22,digitalart,control,False,395,0.07616660239105283
treatment_000352,user_2373,user_56660,249,1258,2022-01-01,Synthetic treatment post #352,2025-03-24,en,True,photo,,1943,521,263,27841,407,112,"syntheticmedia,grokai,grokimage",treatment,True,2839,0.10197191192845084
treatment_000570,user_1171,user_53315,294,568,2022-01-01,Synthetic treatment post #570,2025-03-02,en,True,photo,,583,40,70,7408,97,22,"grokai,aiart,syntheticmedia",treatment,True,715,0.09651727861771059
treatment_000415,user_5867,user_25299,156,879,2022-01-01,Synthetic treatment post #415,2025-01-16,en,True,photo,,875,203,90,21311,101,39,aigenerated,treatment,True,1207,0.05663741729623199
treatment_000611,user_2874,user_54676,1241,1266,2022-01-01,Synthetic treatment post #611,2025-04-18,en,False,photo,,381,83,45,9181,81,42,aigenerated,treatment,True,551,0.06001524888356388
treatment_000300,user_6307,user_36701,405,699,2022-01-01,Synthetic treatment post #300,2025-01-15,en,True,photo,,238,36,45,6768,58,31,"grokimage,grokai",treatment,True,350,0.051713947990543734
treatment_000069,user_5195,user_79437,815,1731,2022-01-01,Synthetic treatment post #69,2025-03-26,en,False,photo,,470,67,77,7916,115,26,"aiart,aigenerated,grokimage",treatment,True,640,0.0808489135927236
control_000693,user_4383,user_15812,461,1375,2022-01-01,Synthetic control post #693,2025-01-20,en,False,photo,,142,81,23,5158,50,25,"photography,digitalart,artistsontwitter",control,False,271,0.05253974408685537
control_000236,user_4187,user_47221,323,1517,2022-01-01,Synthetic control post #236,2025-02-12,en,True,photo,,214,68,24,3725,55,13,portrait,control,False,319,0.08563758389261746
treatment_000782,user_8001,user_48132,323,934,2022-01-01,Synthetic treatment post #782,2025-02-22,en,True,photo,,502,157,32,8121,87,9,"grokai,aiart,grokimage",treatment,True,700,0.08619628124615195
treatment_000059,user_2243,user_14350,135,957,2022-01-01,Synthetic treatment post #59,2025-04-17,en,True,photo,,539,97,21,10278,58,28,"aiart,syntheticmedia,aigenerated",treatment,True,685,0.06664720762794318
treatment_000636,user_9758,user_46355,202,592,2022-01-01,Synthetic treatment post #636,2025-03-21,en,True,photo,,2189,218,74,29674,307,31,syntheticmedia,treatment,True,2512,0.08465323178540136
control_000218,user_3544,user_81756,354,1769,2022-01-01,Synthetic control post #218,2025-02-16,en,True,photo,,310,22,40,4488,40,22,portrait,control,False,394,0.08778966131907308
treatment_000759,user_8736,user_42927,443,1251,2022-01-01,Synthetic treatment post #759,2025-04-10,en,True,photo,,515,160,37,8328,102,34,"grokai,syntheticmedia",treatment,True,746,0.08957732949087416
treatment_000677,user_7957,user_38860,429,1219,2022-01-01,Synthetic treatment post #677,2025-01-25,en,True,photo,,1156,219,144,15046,121,19,aiart,treatment,True,1538,0.10221985909876379
control_000492,user_8778,user_17753,400,174,2022-01-01,Synthetic control post #492,2025-02-12,en,True,photo,,183,29,18,2621,9,4,digitalart,control,False,234,0.08927890118275468
treatment_000527,user_2480,user_45193,343,1924,2022-01-01,Synthetic treatment post #527,2025-02-24,en,True,photo,,558,309,33,15665,160,70,grokai,treatment,True,970,0.06192148100861794
control_000753,user_1165,user_54839,432,1801,2022-01-01,Synthetic control post #753,2025-04-26,en,True,photo,,100,21,15,2400,14,3,"portrait,digitalart",control,False,139,0.057916666666666665
control_000017,user_6457,user_64725,305,91,2022-01-01,Synthetic control post #17,2025-01-13,en,False,photo,,213,44,25,4421,39,12,"digitalart,artistsontwitter",control,False,294,0.06650079167609138
treatment_000244,user_1222,user_91151,624,548,2022-01-01,Synthetic treatment post #244,2025-02-04,en,True,photo,,334,97,52,7219,50,12,"aigenerated,syntheticmedia,aiart",treatment,True,495,0.06856905388557973
control_000243,user_6184,user_44513,228,1417,2022-01-01,Synthetic control post #243,2025-03-16,en,True,photo,,161,45,12,3198,35,10,"photography,portrait",control,False,228,0.07129455909943715
control_000610,user_7020,user_39139,1078,1645,2022-01-01,Synthetic control post #610,2025-03-17,en,True,photo,,305,27,14,5276,46,9,"portrait,photography",control,False,355,0.06728582259287338
control_000273,user_3906,user_47357,170,164,2022-01-01,Synthetic control post #273,2025-02-02,en,True,photo,,107,32,18,2499,13,6,"photography,portrait",control,False,163,0.06522609043617447
control_000662,user_2266,user_86224,157,355,2022-01-01,Synthetic control post #662,2025-02-27,en,False,photo,,387,69,33,5981,44,10,"digitalart,photography",control,False,499,0.08343086440394583
control_000629,user_7548,user_47355,39,1457,2022-01-01,Synthetic control post #629,2025-01-07,en,True,photo,,280,42,34,4159,34,16,digitalart,control,False,372,0.08944457802356336
control_000405,user_7776,user_49773,91,1685,2022-01-01,Synthetic control post #405,2025-04-26,en,True,photo,,123,65,9,3293,14,6,digitalart,control,False,203,0.06164591557849985
control_000307,user_7731,user_52327,215,1924,2022-01-01,Synthetic control post #307,2025-01-24,en,False,photo,,154,106,17,5367,25,11,photography,control,False,288,0.05366126327557295
control_000598,user_5123,user_21797,355,233,2022-01-01,Synthetic control post #598,2025-04-08,en,False,photo,,166,50,49,5623,45,25,"photography,artistsontwitter,digitalart",control,False,290,0.051573892939711895
treatment_000535,user_7764,user_62479,259,475,2022-01-01,Synthetic treatment post #535,2025-03-31,en,True,photo,,301,58,80,8293,91,30,"aigenerated,grokimage",treatment,True,469,0.056553720004823345
control_000767,user_4361,user_74323,980,814,2022-01-01,Synthetic control post #767,2025-04-17,en,True,photo,,431,102,20,7003,25,21,"artistsontwitter,photography",control,False,574,0.08196487219762959
control_000503,user_7677,user_83372,1164,497,2022-01-01,Synthetic control post #503,2025-01-15,en,True,photo,,445,103,41,7336,85,14,"portrait,digitalart,artistsontwitter",control,False,603,0.08219738276990185
treatment_000298,user_3672,user_77942,675,522,2022-01-01,Synthetic treatment post #298,2025-03-12,en,True,photo,,526,94,34,8457,92,35,aigenerated,treatment,True,689,0.08147097079342557
treatment_000764,user_7285,user_15265,266,1747,2022-01-01,Synthetic treatment post #764,2025-04-21,en,True,photo,,1144,173,140,20382,252,38,"grokai,aigenerated",treatment,True,1495,0.07334903346089687
treatment_000344,user_8970,user_92144,1312,1223,2022-01-01,Synthetic treatment post #344,2025-03-19,en,False,photo,,683,253,42,16217,145,20,"aiart,aigenerated",treatment,True,998,0.061540358882654
treatment_000530,user_3558,user_31602,10,998,2022-01-01,Synthetic treatment post #530,2025-03-30,en,True,photo,,149,87,53,5462,25,12,"syntheticmedia,grokai,grokimage",treatment,True,301,0.055108019040644454
control_000284,user_8259,user_18263,355,160,2022-01-01,Synthetic control post #284,2025-02-07,en,True,photo,,132,62,17,4480,48,21,"photography,portrait",control,False,232,0.05178571428571429
treatment_000534,user_5119,user_76731,951,854,2022-01-01,Synthetic treatment post #534,2025-02-08,en,True,photo,,633,126,63,8231,121,33,"aiart,syntheticmedia",treatment,True,855,0.10387559227311384
control_000485,user_7108,user_50887,217,621,2022-01-01,Synthetic control post #485,2025-03-25,en,True,photo,,156,19,35,3807,55,8,"artistsontwitter,digitalart,portrait",control,False,218,0.05726293669556081
treatment_000471,user_4805,user_70942,485,1037,2022-01-01,Synthetic treatment post #471,2025-03-06,en,True,photo,,406,103,39,7633,86,23,grokai,treatment,True,571,0.07480676012052928
treatment_000610,user_6180,user_77809,231,852,2022-01-01,Synthetic treatment post #610,2025-03-20,en,True,photo,,761,107,27,12548,140,14,"grokimage,aiart,syntheticmedia",treatment,True,909,0.0724418233981511
treatment_000185,user_5336,user_87568,437,421,2022-01-01,Synthetic treatment post #185,2025-03-08,en,True,photo,,616,182,63,23112,90,71,grokai,treatment,True,932,0.04032537210107304
treatment_000707,user_5724,user_52849,574,950,2022-01-01,Synthetic treatment post #707,2025-01-24,en,True,photo,,654,61,29,8786,109,17,syntheticmedia,treatment,True,761,0.08661506942863646
treatment_000049,user_8822,user_87544,47,1780,2022-01-01,Synthetic treatment post #49,2025-02-20,en,False,photo,,504,131,38,7070,37,29,"grokimage,aigenerated",treatment,True,702,0.09929278642149929
control_000314,user_9000,user_84942,341,1090,2022-01-01,Synthetic control post #314,2025-02-01,en,True,photo,,217,62,14,3569,32,14,photography,control,False,307,0.08601849257495096
control_000018,user_4329,user_35181,532,73,2022-01-01,Synthetic control post #18,2025-02-27,en,True,photo,,413,116,61,6541,45,9,"photography,portrait",control,False,599,0.09157621158844213
treatment_000124,user_4511,user_17166,212,1465,2022-01-01,Synthetic treatment post #124,2025-04-17,en,True,photo,,387,70,33,6925,97,9,aigenerated,treatment,True,499,0.07205776173285199
control_000103,user_3347,user_29429,102,849,2022-01-01,Synthetic control post #103,2025-04-16,en,True,photo,,360,150,26,12895,75,56,"digitalart,photography,artistsontwitter",control,False,592,0.045909267157813106
treatment_000339,user_7728,user_86673,288,216,2022-01-01,Synthetic treatment post #339,2025-01-14,en,True,photo,,335,260,92,15679,170,71,"grokai,syntheticmedia",treatment,True,758,0.048344919956629887
control_000034,user_4634,user_90957,487,1427,2022-01-01,Synthetic control post #34,2025-04-02,en,True,photo,,181,42,27,4993,20,21,"portrait,photography",control,False,271,0.054275986380933304
control_000107,user_4700,user_89552,448,1162,2022-01-01,Synthetic control post #107,2025-02-16,en,True,photo,,214,82,17,4840,57,5,"digitalart,artistsontwitter",control,False,318,0.06570247933884298
treatment_000309,user_8519,user_55630,702,739,2022-01-01,Synthetic treatment post #309,2025-03-06,en,True,photo,,383,92,100,11667,152,53,aiart,treatment,True,628,0.05382703351332819
treatment_000366,user_9323,user_29321,108,106,2022-01-01,Synthetic treatment post #366,2025-01-21,en,True,photo,,711,137,69,10651,70,36,grokai,treatment,True,953,0.08947516665101868
treatment_000361,user_3672,user_12063,36,619,2022-01-01,Synthetic treatment post #361,2025-01-19,en,True,photo,,196,86,55,6361,44,23,syntheticmedia,treatment,True,360,0.056594875019651
treatment_000601,user_9341,user_78081,1052,872,2022-01-01,Synthetic treatment post #601,2025-02-22,en,True,photo,,915,185,89,12051,114,18,"grokimage,grokai",treatment,True,1207,0.10015766326445938
control_000377,user_4230,user_24604,393,1603,2022-01-01,Synthetic control post #377,2025-02-17,en,True,photo,,212,47,26,2818,35,6,digitalart,control,False,291,0.10326472675656494
control_000605,user_2384,user_12068,2042,1062,2022-01-01,Synthetic control post #605,2025-01-23,en,True,photo,,35,12,11,1639,20,4,digitalart,control,False,62,0.037827943868212324
treatment_000405,user_8838,user_82069,95,1871,2022-01-01,Synthetic treatment post #405,2025-01-28,en,True,photo,,1053,208,121,14752,128,37,"aigenerated,grokimage",treatment,True,1419,0.09619034707158351
control_000316,user_4978,user_42988,365,1728,2022-01-01,Synthetic control post #316,2025-03-14,en,True,photo,,294,118,28,6479,20,17,"digitalart,photography",control,False,457,0.07053557647785152
control_000539,user_2523,user_37998,227,996,2022-01-01,Synthetic control post #539,2025-04-02,en,True,photo,,218,31,23,4653,21,8,"photography,artistsontwitter",control,False,280,0.060176230388996346
treatment_000561,user_7847,user_94328,16,1308,2022-01-01,Synthetic treatment post #561,2025-01-28,en,False,photo,,819,99,94,14338,130,60,"aigenerated,grokai,syntheticmedia",treatment,True,1072,0.07476635514018691
control_000338,user_4880,user_33548,276,1959,2022-01-01,Synthetic control post #338,2025-02-14,en,True,photo,,219,40,8,3789,21,10,"photography,artistsontwitter",control,False,277,0.07310636051728689
treatment_000247,user_2693,user_92711,220,1082,2022-01-01,Synthetic treatment post #247,2025-02-12,en,True,photo,,309,52,27,4475,33,13,"grokimage,aigenerated,syntheticmedia",treatment,True,401,0.08960893854748603
treatment_000109,user_8110,user_91906,464,1531,2022-01-01,Synthetic treatment post #109,2025-02-23,en,True,photo,,1647,326,185,21295,90,49,"grokimage,grokai,aigenerated",treatment,True,2207,0.10363935196055413
treatment_000220,user_4144,user_96428,1207,1557,2022-01-01,Synthetic treatment post #220,2025-03-28,en,True,photo,,459,124,32,6288,19,13,"aigenerated,syntheticmedia,aiart",treatment,True,628,0.09987277353689568
treatment_000203,user_2324,user_22186,164,344,2022-01-01,Synthetic treatment post #203,2025-01-08,en,True,photo,,183,36,33,6844,72,18,"grokimage,grokai",treatment,True,270,0.03945061367621274
control_000047,user_6550,user_58499,578,1643,2022-01-01,Synthetic control post #47,2025-01-02,en,True,photo,,357,67,50,5218,74,23,"digitalart,photography",control,False,497,0.09524722115753162
control_000425,user_6790,user_70516,331,1847,2022-01-01,Synthetic control post #425,2025-04-21,en,False,photo,,151,42,12,2962,13,12,portrait,control,False,217,0.07326130992572587
treatment_000275,user_2147,user_14857,186,430,2022-01-01,Synthetic treatment post #275,2025-02-13,en,True,photo,,457,107,114,11677,58,56,"syntheticmedia,aigenerated",treatment,True,734,0.06285861094459193
treatment_000462,user_4953,user_13762,261,1726,2022-01-01,Synthetic treatment post #462,2025-02-23,en,True,photo,,699,280,52,17328,94,62,"grokimage,syntheticmedia,aiart",treatment,True,1093,0.06307710064635272
control_000564,user_8737,user_35694,323,1905,2022-01-01,Synthetic control post #564,2025-01-19,en,True,photo,,203,23,35,3897,44,10,"artistsontwitter,photography",control,False,271,0.0695406723120349
treatment_000350,user_5398,user_60652,466,497,2022-01-01,Synthetic treatment post #350,2025-04-13,en,True,photo,,690,161,64,12546,137,60,aigenerated,treatment,True,975,0.07771401243424199
treatment_000270,user_6884,user_60400,386,1887,2022-01-01,Synthetic treatment post #270,2025-04-19,en,True,photo,,699,177,81,10209,43,13,"grokimage,aiart,syntheticmedia",treatment,True,970,0.09501420315407974
treatment_000598,user_7864,user_42873,558,640,2022-01-01,Synthetic treatment post #598,2025-04-14,en,True,photo,,558,174,68,10991,158,12,"aiart,syntheticmedia,grokai",treatment,True,812,0.07387862796833773
treatment_000051,user_7959,user_33613,462,1101,2022-01-01,Synthetic treatment post #51,2025-02-16,en,True,photo,,329,109,66,7603,24,14,"grokimage,aiart",treatment,True,518,0.0681310009206892
treatment_000076,user_1393,user_46468,753,582,2022-01-01,Synthetic treatment post #76,2025-04-11,en,True,photo,,313,164,97,9839,137,27,"grokai,aiart",treatment,True,601,0.06108344343937392
treatment_000551,user_4656,user_75082,172,669,2022-01-01,Synthetic treatment post #551,2025-04-30,en,True,photo,,508,66,24,9229,109,11,"aigenerated,aiart",treatment,True,609,0.06598764763246288
control_000689,user_9722,user_78054,421,279,2022-01-01,Synthetic control post #689,2025-02-27,en,True,photo,,205,23,40,4624,14,19,portrait,control,False,287,0.06206747404844291
control_000660,user_9695,user_17813,431,1884,2022-01-01,Synthetic control post #660,2025-04-07,en,True,photo,,134,49,10,3571,21,5,"photography,digitalart,portrait",control,False,198,0.05544665359843181
control_000313,user_3167,user_29861,468,338,2022-01-01,Synthetic control post #313,2025-02-23,en,True,photo,,204,35,37,3754,50,12,artistsontwitter,control,False,288,0.07671816728822589
treatment_000614,user_3717,user_80316,189,1128,2022-01-01,Synthetic treatment post #614,2025-01-27,en,True,photo,,1098,113,106,14361,165,29,"syntheticmedia,grokai,aiart",treatment,True,1346,0.09372606364459299
treatment_000162,user_2775,user_41623,548,1492,2022-01-01,Synthetic treatment post #162,2025-03-23,en,True,photo,,529,112,41,7470,93,23,"syntheticmedia,aigenerated,grokimage",treatment,True,705,0.09437751004016064
treatment_000123,user_2601,user_47101,389,535,2022-01-01,Synthetic treatment post #123,2025-01-30,en,False,photo,,691,165,76,10347,51,17,grokimage,treatment,True,949,0.09171740601140427
control_000609,user_7863,user_85117,392,1112,2022-01-01,Synthetic control post #609,2025-04-28,en,False,photo,,336,27,17,4490,17,17,portrait,control,False,397,0.08841870824053452
treatment_000438,user_4888,user_52903,506,1467,2022-01-01,Synthetic treatment post #438,2025-03-19,en,True,photo,,123,18,34,3698,13,5,"syntheticmedia,aiart",treatment,True,180,0.048674959437533805
control_000055,user_3226,user_46982,261,667,2022-01-01,Synthetic control post #55,2025-03-25,en,True,photo,,351,42,59,6228,72,6,photography,control,False,458,0.073538856775851
control_000444,user_6084,user_48328,284,554,2022-01-01,Synthetic control post #444,2025-04-18,en,True,photo,,285,96,52,5835,53,24,digitalart,control,False,457,0.07832047986289632
treatment_000251,user_8409,user_89802,1121,89,2022-01-01,Synthetic treatment post #251,2025-03-01,en,True,photo,,612,213,105,16141,108,27,"grokai,aiart,grokimage",treatment,True,957,0.059290006814943313
treatment_000271,user_6097,user_68294,828,444,2022-01-01,Synthetic treatment post #271,2025-02-19,en,True,photo,,422,214,110,11228,119,44,"grokimage,syntheticmedia,aiart",treatment,True,790,0.07035981474884218
treatment_000184,user_1351,user_28370,407,1236,2022-01-01,Synthetic treatment post #184,2025-01-09,en,True,photo,,475,190,112,15674,142,71,"aigenerated,aiart,syntheticmedia",treatment,True,848,0.05410233507719791
treatment_000067,user_3027,user_38505,216,1708,2022-01-01,Synthetic treatment post #67,2025-02-16,en,True,photo,,227,133,80,8857,93,40,"grokai,aiart",treatment,True,480,0.05419442249068533
treatment_000483,user_4558,user_96373,42,577,2022-01-01,Synthetic treatment post #483,2025-03-06,en,True,photo,,708,115,77,10375,39,30,"aiart,aigenerated",treatment,True,930,0.08963855421686746
