post_id,author_id,author_username,author_followers,author_account_age_days,author_created,text,created_at,lang,has_media,media_types,media_urls,likes,retweets,replies,views,bookmarks,quotes,hashtags,content_type,ai_generated,engagement_total,engagement_rate,treat,log_views,log_likes,log_retweets,log_engagement_total,velocity,log_followers,log_account_age,has_media_int,hour_of_day,propensity_score
treatment_000030,user_6681,user_56125,1050,1958,2022-01-01,Synthetic treatment post #30,2025-01-31,en,True,photo,,100,64,9,3500,15,12,grokai,treatment,True,185,0.05285714285714286,1,8.160803920954665,4.61512051684126,4.174387269895637,5.225746673713202,0.05285714285714286,6.957497370876951,7.580189417944541,1,0,0.5177236371427081
treatment_000367,user_2393,user_91473,101,877,2022-01-01,Synthetic treatment post #367,2025-03-30,en,False,photo,,516,141,45,11329,78,41,"syntheticmedia,aiart,aigenerated",treatment,True,743,0.06558389972636597,1,9.335209354022052,6.248042874508429,4.955827057601261,6.612041034833092,0.06558389972636597,4.624972813284271,6.777646593635117,0,0,0.5115861367483651
treatment_000485,user_3688,user_67042,595,1857,2022-01-01,Synthetic treatment post #485,2025-04-19,en,True,photo,,1229,199,94,15759,147,39,"grokai,grokimage,aiart",treatment,True,1561,0.0990545085348055,1,9.66523036341187,7.114769448366463,5.298317366548036,7.3537223303996315,0.0990545085348055,6.39024066706535,7.527255919373784,1,0,0.5208183669646119
treatment_000374,user_8554,user_84775,20,1974,2022-01-01,Synthetic treatment post #374,2025-02-04,en,False,photo,,436,62,26,9425,63,9,grokai,treatment,True,533,0.05655172413793103,1,9.151227107483676,6.07993319509559,4.143134726391533,6.280395838960195,0.05655172413793103,3.044522437723423,7.5883236773352225,0,0,0.545533586813709
treatment_000029,user_5057,user_98720,479,125,2022-01-01,Synthetic treatment post #29,2025-01-10,en,True,photo,,769,89,63,14540,179,62,"aigenerated,aiart",treatment,True,983,0.06760660247592848,1,9.584727524513486,6.646390514847729,4.499809670330265,6.891625897052253,0.06760660247592848,6.173786103901937,4.836281906951478,1,0,0.4512657369251643
treatment_000332,user_9876,user_89617,511,1981,2022-01-01,Synthetic treatment post #332,2025-04-25,en,False,photo,,632,95,19,8128,41,24,grokai,treatment,True,770,0.09473425196850394,1,9.003193193746572,6.450470422144176,4.564348191467836,6.647688373563329,0.09473425196850394,6.238324625039508,7.591861714889934,0,0,0.5203806626698055
treatment_000712,user_6990,user_41122,165,351,2022-01-01,Synthetic treatment post #712,2025-03-16,en,True,photo,,342,173,21,8951,45,21,aiart,treatment,True,557,0.06222768405764719,1,9.09963224999176,5.8377304471659395,5.159055299214529,6.324358962381311,0.06222768405764719,5.111987788356544,5.863631175598097,1,0,0.48681894523494434
treatment_000070,user_1965,user_41766,330,1304,2022-01-01,Synthetic treatment post #70,2025-04-21,en,True,photo,,1219,103,152,17383,88,43,"grokimage,grokai,aiart",treatment,True,1517,0.08726917102916643,1,9.763305521936266,7.106606137727303,4.6443908991413725,7.325148957955575,0.08726917102916643,5.802118375377063,7.173958319756794,1,0,0.5161159336054472
treatment_000289,user_4319,user_11252,352,448,2022-01-01,Synthetic treatment post #289,2025-01-12,en,True,photo,,414,252,45,15380,230,35,"grokai,aiart",treatment,True,746,0.048504551365409626,1,9.64088826045181,6.028278520230698,5.53338948872752,6.616065185132817,0.048504551365409626,5.8664680569332965,6.1070228877422545,1,0,0.4872887378455758
treatment_000416,user_8822,user_87424,769,1452,2022-01-01,Synthetic treatment post #416,2025-01-06,en,True,photo,,545,61,39,7125,69,12,"aiart,aigenerated",treatment,True,657,0.09221052631578948,1,8.871505346165781,6.302618975744905,4.127134385045092,6.489204931325317,0.09221052631578948,6.646390514847729,7.2813856635702825,1,0,0.512266604331688
treatment_000324,user_8762,user_38215,164,616,2022-01-01,Synthetic treatment post #324,2025-04-02,en,True,photo,,523,107,92,10331,44,50,"aigenerated,aiart",treatment,True,772,0.07472655115671281,1,9.243001154215731,6.261491684321042,4.68213122712422,6.650279048587422,0.07472655115671281,5.10594547390058,6.424869023905388,1,0,0.501763352925307
treatment_000617,user_9958,user_45545,197,1454,2022-01-01,Synthetic treatment post #617,2025-04-24,en,True,photo,,808,119,32,13160,70,26,"grokimage,syntheticmedia",treatment,True,985,0.07484802431610943,1,9.485013189834323,6.695798917058491,4.787491742782046,6.893656354602635,0.07484802431610943,5.288267030694535,7.282761179605593,1,0,0.5230740711791304
treatment_000380,user_2499,user_30299,498,1331,2022-01-01,Synthetic treatment post #380,2025-02-24,en,True,photo,,363,146,52,8349,55,14,"grokai,grokimage,aiart",treatment,True,575,0.06887052341597796,1,9.030016817844901,5.8971538676367405,4.990432586778736,6.3561076606958915,0.06887052341597796,6.212606095751519,7.194436851100335,1,0,0.5134022693413994
treatment_000173,user_5810,user_42553,461,1017,2022-01-01,Synthetic treatment post #173,2025-02-15,en,True,photo,,533,122,88,12778,54,13,"grokai,aigenerated,aiart",treatment,True,756,0.05916418844889654,1,9.455558477608703,6.280395838960195,4.812184355372417,6.6293632534374485,0.05916418844889654,6.135564891081739,6.925595197110468,1,0,0.5068797460664064
treatment_000634,user_2412,user_86856,858,1144,2022-01-01,Synthetic treatment post #634,2025-02-01,en,True,photo,,866,159,48,18584,59,63,grokimage,treatment,True,1136,0.06112785191562634,1,9.830110082731352,6.7650389767805414,5.075173815233827,7.036148493750536,0.06112785191562634,6.755768921984255,7.0431599159883405,1,0,0.5050760064503431
treatment_000701,user_3273,user_12100,832,1140,2022-01-01,Synthetic treatment post #701,2025-02-09,en,True,photo,,465,126,40,7403,97,14,grokimage,treatment,True,645,0.0871268404700797,1,8.909775673693389,6.144185634125646,4.844187086458591,6.470799503782602,0.0871268404700797,6.725033642166843,7.039660349862076,1,0,0.5052271550607527
treatment_000566,user_5886,user_81289,380,60,2022-01-01,Synthetic treatment post #566,2025-01-30,en,True,photo,,479,117,92,16861,149,51,"aigenerated,grokimage,syntheticmedia",treatment,True,739,0.04382895439179171,1,9.732817848482622,6.173786103901937,4.770684624465665,6.606650186198215,0.04382895439179171,5.942799375126701,4.110873864173311,1,0,0.43407308321890054
treatment_000099,user_8927,user_55159,116,1630,2022-01-01,Synthetic treatment post #99,2025-03-24,en,True,photo,,146,122,28,6412,35,22,"syntheticmedia,grokimage,aiart",treatment,True,318,0.04959451029320025,1,8.766082459148864,4.990432586778736,4.812184355372417,5.765191102784844,0.04959451029320025,4.762173934797756,7.396948602621014,1,0,0.5302625501453133
treatment_000394,user_3614,user_65221,478,1168,2022-01-01,Synthetic treatment post #394,2025-01-10,en,False,photo,,598,114,57,12886,45,60,grokimage,treatment,True,829,0.0643333850690672,1,9.46397433028839,6.395261598115449,4.74493212836325,6.721425700790643,0.0643333850690672,6.171700597410915,7.063903961472068,0,0,0.5069046025860833
treatment_000352,user_2373,user_56660,249,1258,2022-01-01,Synthetic treatment post #352,2025-03-24,en,True,photo,,1943,521,263,27841,407,112,"syntheticmedia,grokai,grokimage",treatment,True,2839,0.10197191192845084,1,10.234300950948512,7.572502985020384,6.257667587882639,7.951559331155252,0.10197191192845084,5.521460917862246,7.138073034044347,1,0,0.5173905412565792
treatment_000570,user_1171,user_53315,294,568,2022-01-01,Synthetic treatment post #570,2025-03-02,en,True,photo,,583,40,70,7408,97,22,"grokai,aiart,syntheticmedia",treatment,True,715,0.09651727861771059,1,8.910450756416656,6.369900982828227,3.713572066704308,6.573680166960646,0.09651727861771059,5.68697535633982,6.343880434126331,1,0,0.49499950723998076
treatment_000611,user_2874,user_54676,1241,1266,2022-01-01,Synthetic treatment post #611,2025-04-18,en,False,photo,,381,83,45,9181,81,42,aigenerated,treatment,True,551,0.06001524888356388,1,9.125000324809168,5.945420608606575,4.430816798843313,6.313548046277095,0.06001524888356388,7.124478262493424,7.144407180321139,0,0,0.5014761711870124
treatment_000300,user_6307,user_36701,405,699,2022-01-01,Synthetic treatment post #300,2025-01-15,en,True,photo,,238,36,45,6768,58,31,"grokimage,grokai",treatment,True,350,0.051713947990543734,1,8.820108644508608,5.476463551931511,3.6109179126442243,5.860786223465865,0.051713947990543734,6.0063531596017325,6.551080335043404,1,0,0.4979638143111458
treatment_000069,user_5195,user_79437,815,1731,2022-01-01,Synthetic treatment post #69,2025-03-26,en,False,photo,,470,67,77,7916,115,26,"aiart,aigenerated,grokimage",treatment,True,640,0.0808489135927236,1,8.976767625171433,6.154858094016418,4.219507705176107,6.46302945692067,0.0808489135927236,6.704414354964107,7.4570320891223805,0,0,0.51310833215948
treatment_000782,user_8001,user_48132,323,934,2022-01-01,Synthetic treatment post #782,2025-02-22,en,True,photo,,502,157,32,8121,87,9,"grokai,aiart,grokimage",treatment,True,700,0.08619628124615195,1,9.002331708246244,6.220590170099739,5.062595033026967,6.55250788703459,0.08619628124615195,5.780743515792329,6.840546529288687,1,0,0.5074394423611536
treatment_000059,user_2243,user_14350,135,957,2022-01-01,Synthetic treatment post #59,2025-04-17,en,True,photo,,539,97,21,10278,58,28,"aiart,syntheticmedia,aigenerated",treatment,True,685,0.06664720762794318,1,9.237858258012922,6.29156913955832,4.584967478670572,6.530877627725885,0.06664720762794318,4.912654885736052,6.86484777797086,1,0,0.5149741621478756
treatment_000636,user_9758,user_46355,202,592,2022-01-01,Synthetic treatment post #636,2025-03-21,en,True,photo,,2189,218,74,29674,307,31,syntheticmedia,treatment,True,2512,0.08465323178540136,1,10.298060219477868,7.691656822810547,5.389071729816501,7.829232537543592,0.08465323178540136,5.313205979041787,6.385194398997726,1,0,0.49906423705063196
treatment_000759,user_8736,user_42927,443,1251,2022-01-01,Synthetic treatment post #759,2025-04-10,en,True,photo,,515,160,37,8328,102,34,"grokai,syntheticmedia",treatment,True,746,0.08957732949087416,1,9.02749867993534,6.246106765481563,5.081404364984463,6.616065185132817,0.08957732949087416,6.095824562432225,7.132497551660044,1,0,0.5126857858213631
treatment_000527,user_2480,user_45193,343,1924,2022-01-01,Synthetic treatment post #527,2025-02-24,en,True,photo,,558,309,33,15665,160,70,grokai,treatment,True,970,0.06192148100861794,1,9.659248037927183,6.326149473155099,5.736572297479192,6.878326468291325,0.06192148100861794,5.840641657373398,7.562681246721884,1,0,0.5261114672195295
treatment_000244,user_1222,user_91151,624,548,2022-01-01,Synthetic treatment post #244,2025-02-04,en,True,photo,,334,97,52,7219,50,12,"aigenerated,syntheticmedia,aiart",treatment,True,495,0.06856905388557973,1,8.884610231886873,5.814130531825066,4.584967478670572,6.206575926724928,0.06856905388557973,6.437751649736401,6.3080984415095305,1,0,0.48808973838840763
treatment_000535,user_7764,user_62479,259,475,2022-01-01,Synthetic treatment post #535,2025-03-31,en,True,photo,,301,58,80,8293,91,30,"aigenerated,grokimage",treatment,True,469,0.056553720004823345,1,9.023287640806327,5.71042701737487,4.07753744390572,6.152732694704104,0.056553720004823345,5.560681631015528,6.16541785423142,1,0,0.4912653869887332
treatment_000298,user_3672,user_77942,675,522,2022-01-01,Synthetic treatment post #298,2025-03-12,en,True,photo,,526,94,34,8457,92,35,aigenerated,treatment,True,689,0.08147097079342557,1,9.042868018032435,6.267200548541362,4.553876891600541,6.536691597591305,0.08147097079342557,6.516193076042964,6.259581464064923,1,0,0.4861800939957749
treatment_000764,user_7285,user_15265,266,1747,2022-01-01,Synthetic treatment post #764,2025-04-21,en,True,photo,,1144,173,140,20382,252,38,"grokai,aigenerated",treatment,True,1495,0.07334903346089687,1,9.922456499083731,7.0431599159883405,5.159055299214529,7.310550158534422,0.07334903346089687,5.58724865840025,7.466227556215481,1,0,0.5255645224977333
treatment_000344,user_8970,user_92144,1312,1223,2022-01-01,Synthetic treatment post #344,2025-03-19,en,False,photo,,683,253,42,16217,145,20,"aiart,aigenerated",treatment,True,998,0.061540358882654,1,9.693877015504503,6.52795791762255,5.537334267018537,6.906754778648554,0.061540358882654,7.180069874302796,7.1098794630722715,0,0,0.5001180950695843
treatment_000530,user_3558,user_31602,10,998,2022-01-01,Synthetic treatment post #530,2025-03-30,en,True,photo,,149,87,53,5462,25,12,"syntheticmedia,grokai,grokimage",treatment,True,301,0.055108019040644454,1,8.605753368395717,5.0106352940962555,4.477336814478207,5.71042701737487,0.055108019040644454,2.3978952727983707,6.906754778648554,1,0,0.5359985376421954
treatment_000534,user_5119,user_76731,951,854,2022-01-01,Synthetic treatment post #534,2025-02-08,en,True,photo,,633,126,63,8231,121,33,"aiart,syntheticmedia",treatment,True,855,0.10387559227311384,1,9.015784277513886,6.452048954437226,4.844187086458591,6.752270376141742,0.10387559227311384,6.858565034791365,6.75110146893676,1,0,0.49650649640374167
treatment_000471,user_4805,user_70942,485,1037,2022-01-01,Synthetic treatment post #471,2025-03-06,en,True,photo,,406,103,39,7633,86,23,grokai,treatment,True,571,0.07480676012052928,1,8.940367233305174,6.008813185442595,4.6443908991413725,6.349138991379798,0.07480676012052928,6.186208623900494,6.945051063725834,1,0,0.5069940665439109
treatment_000610,user_6180,user_77809,231,852,2022-01-01,Synthetic treatment post #610,2025-03-20,en,True,photo,,761,107,27,12548,140,14,"grokimage,aiart,syntheticmedia",treatment,True,909,0.0724418233981511,1,9.437396260110308,6.635946555686647,4.68213122712422,6.813444599510896,0.0724418233981511,5.44673737166631,6.748759547491679,1,0,0.5076550244438123
treatment_000185,user_5336,user_87568,437,421,2022-01-01,Synthetic treatment post #185,2025-03-08,en,True,photo,,616,182,63,23112,90,71,grokai,treatment,True,932,0.04032537210107304,1,10.04815050877669,6.424869023905388,5.209486152841421,6.838405200847344,0.04032537210107304,6.082218910376446,6.045005314036012,1,0,0.4839318364091532
treatment_000707,user_5724,user_52849,574,950,2022-01-01,Synthetic treatment post #707,2025-01-24,en,True,photo,,654,61,29,8786,109,17,syntheticmedia,treatment,True,761,0.08661506942863646,1,9.081028635495842,6.484635235635252,4.127134385045092,6.635946555686647,0.08661506942863646,6.354370040797351,6.85751406254539,1,0,0.5033352071334017
treatment_000124,user_4511,user_17166,212,1465,2022-01-01,Synthetic treatment post #124,2025-04-17,en,True,photo,,387,70,33,6925,97,9,aigenerated,treatment,True,499,0.07205776173285199,1,8.843037724962366,5.961005339623274,4.2626798770413155,6.214608098422191,0.07205776173285199,5.3612921657094255,7.290292882446597,1,0,0.5226949210899199
treatment_000339,user_7728,user_86673,288,216,2022-01-01,Synthetic treatment post #339,2025-01-14,en,True,photo,,335,260,92,15679,170,71,"grokai,syntheticmedia",treatment,True,758,0.048344919956629887,1,9.660141293904399,5.817111159963204,5.564520407322694,6.63200177739563,0.048344919956629887,5.666426688112432,5.37989735354046,1,0,0.4696086433687714
treatment_000309,user_8519,user_55630,702,739,2022-01-01,Synthetic treatment post #309,2025-03-06,en,True,photo,,383,92,100,11667,152,53,aiart,treatment,True,628,0.05382703351332819,1,9.364605330987612,5.950642552587727,4.532599493153256,6.444131256700441,0.05382703351332819,6.555356891810665,6.606650186198215,1,0,0.4950795540447861
treatment_000366,user_9323,user_29321,108,106,2022-01-01,Synthetic treatment post #366,2025-01-21,en,True,photo,,711,137,69,10651,70,36,grokai,treatment,True,953,0.08947516665101868,1,9.273502946933823,6.568077911411976,4.927253685157205,6.860663671448287,0.08947516665101868,4.6913478822291435,4.672828834461906,1,0,0.45863806085501624
treatment_000361,user_3672,user_12063,36,619,2022-01-01,Synthetic treatment post #361,2025-01-19,en,True,photo,,196,86,55,6361,44,23,syntheticmedia,treatment,True,360,0.056594875019651,1,8.758098072309089,5.2832037287379885,4.465908118654584,5.8888779583328805,0.056594875019651,3.6109179126442243,6.429719478039138,1,0,0.513760699684313
treatment_000601,user_9341,user_78081,1052,872,2022-01-01,Synthetic treatment post #601,2025-02-22,en,True,photo,,915,185,89,12051,114,18,"grokimage,grokai",treatment,True,1207,0.10015766326445938,1,9.396985900250192,6.82001636467413,5.225746673713202,7.0967213784947605,0.10015766326445938,6.959398512133975,6.771935555839602,1,0,0.49625888232845905
treatment_000405,user_8838,user_82069,95,1871,2022-01-01,Synthetic treatment post #405,2025-01-28,en,True,photo,,1053,208,121,14752,128,37,"aigenerated,grokimage",treatment,True,1419,0.09619034707158351,1,9.599201730917567,6.960347729101308,5.342334251964811,7.258412150595307,0.09619034707158351,4.564348191467836,7.534762657037537,1,0,0.5354694703296893
treatment_000247,user_2693,user_92711,220,1082,2022-01-01,Synthetic treatment post #247,2025-02-12,en,True,photo,,309,52,27,4475,33,13,"grokimage,aigenerated,syntheticmedia",treatment,True,401,0.08960893854748603,1,8.406485069431817,5.736572297479192,3.970291913552122,5.996452088619021,0.08960893854748603,5.3981627015177525,6.9874902470009905,1,0,0.514375106732347
treatment_000109,user_8110,user_91906,464,1531,2022-01-01,Synthetic treatment post #109,2025-02-23,en,True,photo,,1647,326,185,21295,90,49,"grokimage,grokai,aigenerated",treatment,True,2207,0.10363935196055413,1,9.966274540634894,7.4073177104694174,5.7899601708972535,7.699842407396986,0.10363935196055413,6.142037405587356,7.3343293503005365,1,0,0.5176723060907932
treatment_000220,user_4144,user_96428,1207,1557,2022-01-01,Synthetic treatment post #220,2025-03-28,en,True,photo,,459,124,32,6288,19,13,"aigenerated,syntheticmedia,aiart",treatment,True,628,0.09987277353689568,1,8.746557354543503,6.131226489483141,4.8283137373023015,6.444131256700441,0.09987277353689568,7.0967213784947605,7.351158226430694,1,0,0.5105437057121993
treatment_000203,user_2324,user_22186,164,344,2022-01-01,Synthetic treatment post #203,2025-01-08,en,True,photo,,183,36,33,6844,72,18,"grokimage,grokai",treatment,True,270,0.03945061367621274,1,8.83127373772255,5.214935757608986,3.6109179126442243,5.602118820879701,0.03945061367621274,5.10594547390058,5.84354441703136,1,0,0.48633402304902473
treatment_000462,user_4953,user_13762,261,1726,2022-01-01,Synthetic treatment post #462,2025-02-23,en,True,photo,,699,280,52,17328,94,62,"grokimage,syntheticmedia,aiart",treatment,True,1093,0.06307710064635272,1,9.760136677640245,6.551080335043404,5.638354669333745,6.9975959829819265,0.06307710064635272,5.568344503761097,7.454141078146678,1,0,0.5253942178837601
treatment_000350,user_5398,user_60652,466,497,2022-01-01,Synthetic treatment post #350,2025-04-13,en,True,photo,,690,161,64,12546,137,60,aigenerated,treatment,True,975,0.07771401243424199,1,9.4372368721597,6.53813982376767,5.087596335232384,6.883462586413092,0.07771401243424199,6.1463292576688975,6.210600077024653,1,0,0.4878157470374302
treatment_000270,user_6884,user_60400,386,1887,2022-01-01,Synthetic treatment post #270,2025-04-19,en,True,photo,,699,177,81,10209,43,13,"grokimage,aiart,syntheticmedia",treatment,True,970,0.09501420315407974,1,9.231122911158712,6.551080335043404,5.181783550292085,6.878326468291325,0.09501420315407974,5.958424693029782,7.543273346705446,1,0,0.5246646582088325
treatment_000598,user_7864,user_42873,558,640,2022-01-01,Synthetic treatment post #598,2025-04-14,en,True,photo,,558,174,68,10991,158,12,"aiart,syntheticmedia,grokai",treatment,True,812,0.07387862796833773,1,9.30492301446213,6.326149473155099,5.1647859739235145,6.70073110954781,0.07387862796833773,6.326149473155099,6.46302945692067,1,0,0.49308719908202925
treatment_000051,user_7959,user_33613,462,1101,2022-01-01,Synthetic treatment post #51,2025-02-16,en,True,photo,,329,109,66,7603,24,14,"grokimage,aiart",treatment,True,518,0.0681310009206892,1,8.93642970360832,5.799092654460526,4.700480365792417,6.251903883165888,0.0681310009206892,6.137727054086234,7.004881989712859,1,0,0.5089669187587035
treatment_000076,user_1393,user_46468,753,582,2022-01-01,Synthetic treatment post #76,2025-04-11,en,True,photo,,313,164,97,9839,137,27,"grokai,aiart",treatment,True,601,0.06108344343937392,1,9.1942109900463,5.749392985908253,5.10594547390058,6.400257445308821,0.06108344343937392,6.625392368007956,6.368187186350492,1,0,0.48819482878321485
treatment_000551,user_4656,user_75082,172,669,2022-01-01,Synthetic treatment post #551,2025-04-30,en,True,photo,,508,66,24,9229,109,11,"aigenerated,aiart",treatment,True,609,0.06598764763246288,1,9.130214327496898,6.2324480165505225,4.204692619390966,6.413458957167357,0.06598764763246288,5.153291594497779,6.507277712385012,1,0,0.5035750711397541
treatment_000614,user_3717,user_80316,189,1128,2022-01-01,Synthetic treatment post #614,2025-01-27,en,True,photo,,1098,113,106,14361,165,29,"syntheticmedia,grokai,aiart",treatment,True,1346,0.09372606364459299,1,9.572341108670264,7.002155954403621,4.736198448394496,7.205635176410364,0.09372606364459299,5.247024072160486,7.029087564149662,1,0,0.5166773824684544
treatment_000162,user_2775,user_41623,548,1492,2022-01-01,Synthetic treatment post #162,2025-03-23,en,True,photo,,529,112,41,7470,93,23,"syntheticmedia,aigenerated,grokimage",treatment,True,705,0.09437751004016064,1,8.918784137975802,6.272877006546167,4.727387818712341,6.559615237493242,0.09437751004016064,6.3080984415095305,7.30854279753919,1,0,0.5156712718644751
treatment_000438,user_4888,user_52903,506,1467,2022-01-01,Synthetic treatment post #438,2025-03-19,en,True,photo,,123,18,34,3698,13,5,"syntheticmedia,aiart",treatment,True,180,0.048674959437533805,1,8.215817791832453,4.820281565605037,2.9444389791664403,5.198497031265826,0.048674959437533805,6.2285110035911835,7.291656209174461,1,0,0.5158547974372395
treatment_000251,user_8409,user_89802,1121,89,2022-01-01,Synthetic treatment post #251,2025-03-01,en,True,photo,,612,213,105,16141,108,27,"grokai,aiart,grokimage",treatment,True,957,0.059290006814943313,1,9.689179849884317,6.418364935936212,5.365976015021851,6.86484777797086,0.059290006814943313,7.022868086082641,4.499809670330265,1,0,0.4357919124793819
treatment_000271,user_6097,user_68294,828,444,2022-01-01,Synthetic treatment post #271,2025-02-19,en,True,photo,,422,214,110,11228,119,44,"grokimage,syntheticmedia,aiart",treatment,True,790,0.07035981474884218,1,9.326254996572539,6.0473721790462776,5.3706380281276624,6.673297967767654,0.07035981474884218,6.720220155135295,6.09807428216624,1,0,0.4802790061399729
treatment_000067,user_3027,user_38505,216,1708,2022-01-01,Synthetic treatment post #67,2025-02-16,en,True,photo,,227,133,80,8857,93,40,"grokai,aiart",treatment,True,480,0.05419442249068533,1,9.089076284483143,5.429345628954441,4.897839799950911,6.175867270105761,0.05419442249068533,5.37989735354046,7.443663683115591,1,0,0.5266092364678214
treatment_000483,user_4558,user_96373,42,577,2022-01-01,Synthetic treatment post #483,2025-03-06,en,True,photo,,708,115,77,10375,39,30,"aiart,aigenerated",treatment,True,930,0.08963855421686746,1,9.24725072599628,6.5638555265321274,4.7535901911063645,6.836259277277067,0.08963855421686746,3.7612001156935624,6.359573868672378,1,0,0.5107069503275026
treatment_000141,user_3712,user_43474,517,799,2022-01-01,Synthetic treatment post #141,2025-03-16,en,True,photo,,634,194,73,17682,211,76,syntheticmedia,treatment,True,977,0.05525393055084266,1,9.780359005054978,6.453624998892692,5.272999558563747,6.885509670034818,0.05525393055084266,6.249975242259483,6.684611727667927,1,0,0.4995741254785226
treatment_000528,user_3285,user_41489,382,1331,2022-01-01,Synthetic treatment post #528,2025-03-28,en,True,photo,,494,153,52,19786,143,45,aiart,treatment,True,744,0.037602345092489636,1,9.89278043539244,6.20455776256869,5.0369526024136295,6.61338421837956,0.037602345092489636,5.948034989180646,7.194436851100335,1,0,0.5155014761736599
treatment_000464,user_6001,user_41698,135,1533,2022-01-01,Synthetic treatment post #464,2025-02-06,en,True,photo,,593,202,194,27188,198,123,"grokai,syntheticmedia,aiart",treatment,True,1112,0.040900397234073856,1,10.210567758722892,6.386879319362645,5.313205979041787,7.014814351275545,0.040900397234073856,4.912654885736052,7.335633981927201,1,0,0.5274492338638913
treatment_000715,user_8632,user_67679,524,266,2022-01-01,Synthetic treatment post #715,2025-03-21,en,True,photo,,1384,193,115,23558,345,76,"grokai,grokimage",treatment,True,1768,0.07504881568893794,1,10.067263192042985,7.233455418621439,5.267858159063328,7.478169694159785,0.07504881568893794,6.263398262591624,5.58724865840025,1,0,0.47036999402646845
treatment_000765,user_6189,user_82283,147,292,2022-01-01,Synthetic treatment post #765,2025-03-28,en,True,photo,,431,120,97,11442,109,29,syntheticmedia,treatment,True,677,0.05916797762628911,1,9.345133468317714,6.068425588244111,4.795790545596741,6.519147287940395,0.05916797762628911,4.997212273764115,5.680172609017068,1,0,0.4828636650213703
